Break (Cursor) : Flexure stress at Break (Cursor),"769.11438",MPa
Modulus (Automatic Young's) : Modulus (Automatic Young's),"31220.30931",MPa
Specimen properties : Support span,"125.00000",mm
Specimen properties : Thickness,"4.11000",mm
Specimen properties : Width,"12.86000",mm
Specimen properties : Specimen label,"2A"

Time,Extension,Load,Flexure stress,Flexure strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"39.00000","3.46657","194.01857","167.46342","0.00547"
"39.10000","3.47484","194.70461","168.05556","0.00548"
"39.20000","3.48319","195.51067","168.75130","0.00550"
"39.30000","3.49154","195.85022","169.04439","0.00551"
"39.40000","3.49984","196.11903","169.27640","0.00552"
"39.50000","3.50821","196.62898","169.71655","0.00554"
"39.60000","3.51659","197.13588","170.15407","0.00555"
"39.70000","3.52492","197.52393","170.48901","0.00556"
"39.80000","3.53320","197.98640","170.88818","0.00558"
"39.90000","3.54156","198.36072","171.21127","0.00559"
"40.00000","3.54988","198.76973","171.56430","0.00560"
"40.10000","3.55819","199.11937","171.86609","0.00562"
"40.20000","3.56647","199.33951","172.05609","0.00563"
"40.30000","3.57483","200.43629","173.00276","0.00564"
"40.40000","3.58324","200.47755","173.03838","0.00566"
"40.50000","3.59161","200.97566","173.46831","0.00567"
"40.60000","3.59990","201.64735","174.04807","0.00568"
"40.70000","3.60820","202.14017","174.47343","0.00569"
"40.80000","3.61654","202.63220","174.89812","0.00571"
"40.90000","3.62486","203.01976","175.23264","0.00572"
"41.00000","3.63318","203.32603","175.49699","0.00573"
"41.10000","3.64147","203.91426","176.00470","0.00575"
"41.20000","3.64986","204.22258","176.27083","0.00576"
"41.30000","3.65823","204.63513","176.62691","0.00577"
"41.40000","3.66656","205.25284","177.16006","0.00579"
"41.50000","3.67494","205.73901","177.57970","0.00580"
"41.60000","3.68324","206.61069","178.33208","0.00581"
"41.70000","3.69152","206.86543","178.55196","0.00583"
"41.80000","3.69981","206.95914","178.63283","0.00584"
"41.90000","3.70813","207.44072","179.04849","0.00585"
"42.00000","3.71652","208.17810","179.68495","0.00587"
"42.10000","3.72489","208.26430","179.75935","0.00588"
"42.20000","3.73315","209.09302","180.47466","0.00589"
"42.30000","3.74159","209.32579","180.67557","0.00591"
"42.40000","3.74999","209.48669","180.81444","0.00592"
"42.50000","3.75818","209.97560","181.23643","0.00593"
"42.60000","3.76651","210.84465","181.98654","0.00594"
"42.70000","3.77483","211.52802","182.57637","0.00596"
"42.80000","3.78316","211.53253","182.58026","0.00597"
"42.90000","3.79156","212.20930","183.16441","0.00598"
"43.00000","3.79987","212.73392","183.61722","0.00600"
"43.10000","3.80821","213.09644","183.93011","0.00601"
"43.20000","3.81666","213.16360","183.98810","0.00602"
"43.30000","3.82490","213.98120","184.69379","0.00604"
"43.40000","3.83320","214.30792","184.97580","0.00605"
"43.50000","3.84154","214.94882","185.52898","0.00606"
"43.60000","3.84979","215.47633","185.98428","0.00608"
"43.70000","3.85818","215.65195","186.13586","0.00609"
"43.80000","3.86656","215.99086","186.42839","0.00610"
"43.90000","3.87485","216.71617","187.05443","0.00612"
"44.00000","3.88329","216.99155","187.29211","0.00613"
"44.10000","3.89160","217.46446","187.70030","0.00614"
"44.20000","3.89985","218.27019","188.39575","0.00615"
"44.30000","3.90824","218.35968","188.47299","0.00617"
"44.40000","3.91656","219.03777","189.05827","0.00618"
"44.50000","3.92475","219.52425","189.47816","0.00619"
"44.60000","3.93315","219.92757","189.82628","0.00621"
"44.70000","3.94155","220.27745","190.12828","0.00622"
"44.80000","3.94992","220.61665","190.42105","0.00623"
"44.90000","3.95824","221.18465","190.91130","0.00625"
"45.00000","3.96656","221.59142","191.26241","0.00626"
"45.10000","3.97491","222.16557","191.75798","0.00627"
"45.20000","3.98323","222.59171","192.12578","0.00629"
"45.30000","3.99151","223.14357","192.60211","0.00630"
"45.40000","3.99982","223.76846","193.14148","0.00631"
"45.50000","4.00816","224.11110","193.43723","0.00633"
"45.60000","4.01653","224.37268","193.66299","0.00634"
"45.70000","4.02488","224.96156","194.17128","0.00635"
"45.80000","4.03326","225.46391","194.60487","0.00637"
"45.90000","4.04159","225.99007","195.05902","0.00638"
"46.00000","4.04989","226.40099","195.41370","0.00639"
"46.10000","4.05821","226.69856","195.67053","0.00640"
"46.20000","4.06653","226.85834","195.80844","0.00642"
"46.30000","4.07485","227.55278","196.40784","0.00643"
"46.40000","4.08320","227.66772","196.50705","0.00644"
"46.50000","4.09151","228.60609","197.31699","0.00646"
"46.60000","4.09986","229.00098","197.65782","0.00647"
"46.70000","4.10827","229.34184","197.95204","0.00648"
"46.80000","4.11656","229.57965","198.15729","0.00650"
"46.90000","4.12486","230.29527","198.77496","0.00651"
"47.00000","4.13320","230.57294","199.01463","0.00652"
"47.10000","4.14153","231.05701","199.43245","0.00654"
"47.20000","4.14987","231.68002","199.97018","0.00655"
